record_id,dataset_doi,source_version,expected_file_count,expected_bytes,inspection_level,complete_deposit_downloaded_for_structure_review,acquired_file_count_after_extraction,acquired_bytes_after_extraction,file_extension_counts_json,local_files_retained
dryad_congenital_cataract_sight_restoration,10.5061/dryad.0gb5mkm9b,13,11,31105,complete_current_deposit_structurally_inspected,True,11,31105,"{"".m"": 2, "".md"": 1, "".txt"": 8}",False
dryad_congenital_glaucoma_wes,10.5061/dryad.k7455,1,4,442116648,complete_official_file_listing,False,,,"{"".txt"": 4}",False
dryad_cornea_oct_pentacam,10.5061/dryad.tht76hf0c,5,1,383898834,complete_official_file_listing,False,,,"{"".zip"": 1}",False
dryad_corneal_biomechanics_prostaglandin,10.5061/dryad.d35s0,1,1,55426,complete_current_deposit_structurally_inspected,True,1,55426,"{"".xlsx"": 1}",False
dryad_corneal_conjunctivitis_biomarker,10.5061/dryad.4j0zpc8mm,3,4,8983041,complete_current_deposit_structurally_inspected,True,4,8983041,"{"".csv"": 2, "".md"": 1, "".zip"": 1}",False
dryad_corneal_laser_procedure,10.5061/dryad.m905qfv2r,8,3,76650,complete_current_deposit_structurally_inspected,True,3,76650,"{"".txt"": 1, "".xls"": 2}",False
dryad_crvo_vegf_tortuosity,10.5061/dryad.5dn13,1,1,18399,complete_current_deposit_structurally_inspected,True,1,18399,"{"".xlsx"": 1}",False
dryad_d12d9f,10.6078/d12d9f,4,16,704982604,complete_official_file_listing,False,,,"{"".csv"": 8, "".mat"": 7, "".txt"": 1}",False
dryad_d1895r,10.6078/d1895r,1,3,180261221,complete_official_file_listing,False,,,"{"".csv"": 1, "".txt"": 2}",False
dryad_d1zd5s,10.5068/d1zd5s,9,4,43985647,complete_current_deposit_structurally_inspected,True,4,43985647,"{"".h5"": 3, "".txt"": 1}",False
dryad_diabetes_retinal_capillary,10.5061/dryad.58791,1,1,54983,complete_current_deposit_structurally_inspected,True,1,54983,"{"".sav"": 1}",False
dryad_diabetic_retinopathy_renal,10.5061/dryad.6kg1sd7,1,1,202240,complete_current_deposit_structurally_inspected,True,1,202240,"{"".et"": 1}",False
dryad_dome_shaped_macula,10.5061/dryad.h544560,1,2,589392,complete_current_deposit_structurally_inspected,True,2,589392,"{"".docx"": 1, "".xlsx"": 1}",False
dryad_dry_eye_nlrp3,10.5061/dryad.7vn28,1,1,283622,complete_current_deposit_structurally_inspected,True,1,283622,"{"".zip"": 1}",False
dryad_eye_care_quality_of_life,10.5061/dryad.h44j0zpv3,7,2,95224,complete_current_deposit_structurally_inspected,True,2,95224,"{"".md"": 1, "".xlsx"": 1}",False
dryad_eye_head_visual_selection,10.5061/dryad.33kh1,1,1,82791,complete_current_deposit_structurally_inspected,True,1,82791,"{"".xlsx"": 1}",False
dryad_functional_oct_alzheimer,10.5061/dryad.msbcc2ftc,6,1,843520297,complete_official_file_listing,False,,,"{"".rar"": 1}",False
dryad_fundus_venous_pulsation,10.5061/dryad.56f1h,1,2,118583295,complete_official_file_listing,False,,,"{"".txt"": 1, "".zip"": 1}",False
dryad_fungal_keratitis_azole_assay,10.5061/dryad.bk3j9kdjf,3,3,4025,complete_official_file_listing,False,,,"{"".csv"": 2, "".md"": 1}",False
dryad_fungal_keratitis_cci,10.5061/dryad.8931zcrw5,8,2,258765397,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 1}",False
dryad_ga_biofeedback,10.5061/dryad.ngf1vhj81,5,2,10256,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1}",False
dryad_gca_optic_nerve_dwi,10.5061/dryad.59zw3r2bk,4,2,695487,complete_official_file_listing,False,,,"{"".txt"": 1, "".xlsx"": 1}",False
dryad_gcc_glaucoma,10.5061/dryad.xwdbrv1tn,3,2,12543,complete_official_file_listing,False,,,"{"".md"": 1, "".sav"": 1}",False
dryad_glaucoma_lhon_mitochondrial,10.5061/dryad.2k4v4,1,1,14688,complete_official_file_listing,False,,,"{"".rar"": 1}",False
dryad_glaucoma_rnfl_vf,10.5061/dryad.q6ft5,1,1,12461,complete_official_file_listing,False,,,"{"".zip"": 1}",False
dryad_glaucoma_tears_mirna,10.5061/dryad.bcc2fqzj1,3,2,69620,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1}",False
dryad_htr1b_mouse_retina,10.5061/dryad.bk3j9kdps,7,5,113358,complete_official_file_listing,False,,,"{"".md"": 1, "".xlsx"": 4}",False
dryad_human_foveal_cones,10.5061/dryad.nh0fp1b,1,1,33268162,complete_official_file_listing,False,,,"{"".zip"": 1}",False
dryad_huntingtons_retinal_oct,10.5061/dryad.ncjsxksxr,5,2,24663,complete_official_file_listing,False,,,"{"".csv"": 1, "".md"": 1}",False
dryad_icmr_eye_see_cataract,10.5061/dryad.5qfttdz19,6,2,2438708,complete_official_file_listing,False,,,"{"".txt"": 1, "".zip"": 1}",False
dryad_ird_mouse_proteome,10.5061/dryad.c2fqz61pc,4,19,7826521,complete_official_file_listing,False,,,"{"".csv"": 18, "".md"": 1}",False
dryad_iris_surface_features,10.5061/dryad.0kt87,1,1,155993,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_j0707ztm,10.6075/j0707ztm,4,1,313138,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_karachi_cataract_outcomes,10.5061/dryad.7q5c7,1,1,8591,complete_official_file_listing,False,,,"{"".csv"": 1}",False
dryad_lens_fluorescence_twins,10.5061/dryad.mcvdnck22,4,1,19907,complete_official_file_listing,False,,,"{"".xlsx"": 1}",False
dryad_lvpei_cataract_outcomes,10.5061/dryad.71hp4,1,1,452222,complete_official_file_listing,False,,,"{"".dta"": 1}",False
dryad_macaque_cone_ratio,10.5061/dryad.gf1vhhmsc,4,3,492530,complete_official_file_listing,False,,,"{"".csv"": 2, "".md"": 1}",False
dryad_moorfields_amd_1_2_year,10.5061/dryad.97r9289,4,2,3343064,complete_official_file_listing,False,,,"{"".csv"": 1, "".rtf"": 1}",False
dryad_moorfields_namd_fellow_eye,10.5061/dryad.4mw6m906b,7,2,15505168,complete_official_file_listing,False,,,"{"".csv"": 1, "".rtf"": 1}",False
dryad_mouse_all_optical_retina,10.5061/dryad.7q37g6b,1,2,221621774,complete_official_file_listing,False,,,"{"".docx"": 1, "".zip"": 1}",False
