record_id,canonical_name,provider,official_source_url,dataset_identifier,catalog_deposit_version,observed_deposit_version,version_matches_catalog,listing_result,expected_file_count,expected_bytes,file_index,file_path,file_bytes,mime_type,source_checksum_type,source_checksum_available,source_status,notes
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,186,imudata.gz,1822440,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,187,snap0.jpg,127313,image/jpeg,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,188,gazedata.gz,841106,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,189,._meta,4096,application/octet-stream,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,190,recording.g3,1031,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,191,scenevideo.mp4,165325752,video/mp4,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,192,RuVersion,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,193,participant,17,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,194,HuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,195,RuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,196,eventdata.gz,452,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,197,imudata.gz,1749477,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,198,snap0.jpg,135374,image/jpeg,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,199,gazedata.gz,1463541,application/gzip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,200,._meta,4096,application/octet-stream,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,201,recording.g3,1026,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,202,scenevideo.mp4,157403556,video/mp4,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,203,RuVersion,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,204,participant,17,application/json,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
natural_scene_eye_tracking_collection,Natural-Scene Tobii Eye-Tracking Collection,figshare,https://doi.org/10.6084/m9.figshare.30520733.v1,30520733,1,1,True,official_file_listing_confirmed,217,2978555671,205,HuSerial,18,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
